Domain,Zone,Region,Branch Name,Branch Code,No_of_Samity,No_of_Members,No_of_Borrower,SEP_2025_ Month_Loan,Loan_Outstanding_Principal,Loan_Service_Charge,Total_Outstanding,Overdue_Principal,Overdue_Service_Charge,Total_Overdue,GS,SS,TSS,TDMB,Total_Savings_Balance
OP Domain Rangpur,Gaibandha Zone,Saghata Region,Bonarpara,0092,136,2946,2228,11093000,76959043,10329726,87288769,11137074,1490409,12627483,29829195,3594302,15724300,9080000,58227797
OP Domain Rangpur,Polashbari Zone,Ghoraghat Region,Rajabirat,0093,70,1448,1300,8912000,52795204,6484614,59279818,3774426,503344,4277770,15501386,2510019,6015400,5375000,29401805
OP Domain Rajshahi,Chapainobabgonj Zone,Niyamatpur Region,Shibpur-1,0094,109,2898,2414,13878000,80780721,9211633,89992354,4413866,541939,4955805,21559447,4463496,5848800,1720000,33591743
OP Domain Rajshahi,Rajshahi Zone,Rajshahi Region,KATAKHALI-1,0095,137,3404,2803,12800000,82249307,11230694,93480001,10161175,1316373,11477548,29602420,3966187,4207000,6830000,44605607
OP Domain Rajshahi,Najipur Zone,Najipur Region,Modhuil,0096,131,3194,2829,14183000,109105968,9577544,118683512,6919114,777624,7696738,21827644,4627790,9070000,555000,36080434
OP Domain Rajshahi,Naogaon Zone,Manda Region,Manda-1,0097,169,3529,3139,12420000,88876685,11245378,100122063,21335434,2563627,23899060,27204373,3111432,6873100,12380000,49568905
OP Domain Rajshahi,Chapainobabgonj Zone,Niyamatpur Region,Niamatpur,0098,101,2436,2073,11635000,67466112,8285633,75751745,5981101,704658,6685760,18610187,3009629,3839800,0,25459616
OP Domain Natore,Natore Zone,Najirpur Region,Gurudaspur,0099,128,1966,1638,8952000,58712727,8527780,67240507,8806447,1205833,10012280,19958818,3677870,3504500,6775000,33916188
OP Domain Rajshahi,Chapainobabgonj Zone,Niyamatpur Region,Chowbaria,0100,91,2326,1862,11770000,70337248,8100848,78438096,4397755,534934,4932689,19854527,2844561,4489000,3195000,30383088
OP Domain Rajshahi,Rajshahi Zone,Coart Region,Rajshahi court,0101,115,2933,2486,15165000,95657749,13949441,109607190,10067900,1363181,11431081,29187471,4917663,6329300,11010000,51444434
OP Domain Rajshahi,Rajshahi Zone,Coart Region,Damkurahat,0102,141,2183,1806,8256000,52067016,6785290,58852306,8220960,1067535,9288495,18350791,3635559,3707050,3965000,29658400
OP Domain Rajshahi,Najipur Zone,Najipur Region,Nazipur,0103,122,2028,1772,9382000,66317193,6736241,73053433,9128023,951762,10079785,17812247,2419955,8003800,4425000,32661002
OP Domain Rajshahi,Chapainobabgonj Zone,Shibganj Region-2,Shibganj-2,0104,109,2311,1622,10655000,56569589,6620573,63190162,4477483,596946,5074429,15744659,3059951,4230000,1740000,24774610
OP Domain Rajshahi,Chapainobabgonj Zone,Chapainawabganj Region,Chapainawabganj,0105,103,2008,1539,9358000,49630208,6504892,56135100,3793373,495648,4289021,24588338,3684107,5500600,655000,34428045
OP Domain Rajshahi,Chapainobabgonj Zone,Shibganj Region-2,Ranihati,0106,85,1578,1139,6690000,38423019,4745719,43168738,4448957,560233,5009190,10965257,1841214,2459600,1085000,16351071
OP Domain Chittagaon,Chittagong North Zone,Pahartali Region,Chittagong,0107,63,1485,1337,7450000,58541873,8552610,67094482,9379477,1360911,10740389,13695917,6296778,5129550,1255000,26377245
OP Domain Rajshahi,Chapainobabgonj Zone,Shibganj Region-2,Kanshat,0108,126,2637,2209,15241000,77505092,9280104,86785196,5140572,617968,5758541,22170161,3857289,3227700,1850000,31105150
OP Domain Comilla,Laxmipur Zone,Raypur Region,Raypur,0109,137,1745,1360,12965000,90288100,13080850,103368950,7887666,1087990,8975656,21678262,7742622,7239400,3880000,40540284
OP Domain Chittagaon,Feni Zone,Feni Region,Feni-1,0110,148,2552,2089,15518000,102118032,14459255,116577287,13903237,1830029,15733266,26617028,9968742,8588600,4905000,50079370
OP Domain Natore,Puthia Zone,Taherpur Region,Naldanga-1,0111,107,2592,1894,11723000,75382380,11500215,86882596,5746933,832686,6579619,16079772,3745225,7782100,2025000,29632097
OP Domain Rajshahi,Najipur Zone,Najipur Region,Dhamurhat,0112,158,3195,2790,13366000,104623395,9256892,113880287,5923228,382822,6306050,24675618,5948221,13227400,3590000,47441239
OP Domain Rajshahi,Naogaon Zone,Manda Region,Panjarbhanga,0113,107,2104,1648,8810000,53811483,6617721,60429204,6209839,792627,7002466,15894631,1776132,5249800,9225000,32145563
OP Domain Natore,Puthia Zone,Taherpur Region,Bhabaniganj-1,0114,151,3071,2344,12165000,81214693,11526539,92741231,11839046,1600793,13439839,15673295,4670135,4380600,2350000,27074030
OP Domain Rajshahi,Naogaon Zone,Raninagor Region,Raninagor,0115,165,2818,2258,9453000,65919059,8477857,74396916,11572550,1517537,13090087,17899971,2984239,4264600,3350000,28498810
OP Domain Rangpur,Rangpur Zone,Rangpur Region,Jalkar-1,0116,136,2649,2348,11268000,75844410,10071251,85915661,13743444,1867966,15611410,19750081,4168613,4644100,1290000,29852794
OP Domain Bogra,Joypurhat Zone,Hakimpur Region,Shirotti,0117,115,2391,2098,12310000,86974176,10257954,97232130,10214347,1249755,11464102,16616879,4104970,6257800,650000,27629649
OP Domain Rajshahi,Naogaon Zone,Raninagor Region,Atrai,0118,97,1746,1453,9299000,58667963,8061743,66729705,4666450,629811,5296261,18123984,2583378,10457200,3550000,34714562
OP Domain Chittagaon,Noakhali Zone,Begumganj Region,Noakhali,0119,119,1389,1104,9500000,56254958,8183006,64437964,6122370,821453,6943823,15779261,5400469,4673600,2870000,28723330
OP Domain Dinajpur,Syedpur Zone,Nilfamari Region,Nilphamari,0120,99,1996,1807,9680000,56923548,7491873,64415421,6584430,877268,7461698,31219508,2745650.78,4461500,14590000,53016658.78
OP Domain Dinajpur,Syedpur Zone,Syedpur Region,Saidpur-1,0121,84,1823,1688,8220000,55920468,7311815,63232283,9915539,1273389,11188928,16218498,1641657,2506400,545000,20911555
OP Domain Rangpur,Lalmonirhat Zone,Lalmonirhat Region,Lalmonirhat,0122,133,3196,2807,14441000,90202070,11909431,102111501,9059959,1213962,10273921,28362962,4742637,7515200,3015000,43635799
OP Domain Rangpur,Gaibandha Zone,Gaibandha Region,Gaibandha-1,0123,125,2836,2365,13795000,92546668,12655428,105202096,13857739,2020753,15878492,24576769,5298582,10631200,2860000,43366551
OP Domain Mymensingh,Gazipur Zone,Gazipur Region,Gazipur-1,0124,120,1885,1565,12100000,81601152,13429727,95030879,4220789,649726,4870515,29119277,8347812,12259400,4400000,54126489
OP Domain Rajshahi,Chapainobabgonj Zone,Chapainawabganj Region,Godagari,0125,96,2066,1621,8580000,48887583,6278918,55166501,3059108,398383,3457491,14024600,2841147,3220500,735000,20821247
OP Domain Rangpur,Gaibandha Zone,Sundarganj Region,Dhormopur,0126,158,3478,2718,14784000,107794199,15117543,122911742,9771806,1333011,11104817,26100899,7630142,16266250,4425000,54422291
OP Domain Dinajpur,Dinajpur Zone,Dinajpur Region,Dinajpur-1,0127,137,2900,2587,14770000,89450069,11613936,101064006,7608006,983014,8591020,33853506,5580573,13044800,8170000,60648879
OP Domain Dinajpur,Thakurgaon Zone,Birgonj Region,Birganj,0128,153,3018,2779,12428000,82603348,10784703,93388051,12708991,1637504,14346495,27439357,3307096,7349500,7575000,45670953
OP Domain Dinajpur,Dinajpur Zone,Shikdarhat Region,Shikdarhat,0129,114,2568,2359,12347000,73505234,9660448,83165682,11832700,1569121,13401821,26407013,3222830,7950600,4840000,42420443
OP Domain Rangpur,Kurigram Zone,Kurigram Region,Kurigram-1,0130,146,3395,3081,16548000,108458476,14054279,122512755,21119561,2718462,23838023,35580357,5027298,8599500,4495000,53702155
OP Domain Bogra,Joypurhat Zone,Joypurhat Region,Khanjanpur,0131,157,3179,2278,12020000,78124370,9242722,87367092,8998619,1155741,10154360,35601143,3093410,6632000,11215000,56541553
OP Domain Bogra,Sirajganj Zone,Nimgachhi Region,Salanga,0132,136,2809,2396,13563000,86578820,11326316,97905136,13421089,1731088,15152177,28968245,4059193,11979700,12240000,57247138
OP Domain Bogra,Sirajganj Zone,Sirajgonj Region,Sirajganj-1,0133,123,2927,2294,11300000,78652272,11884971,90537243,9459785,1269320,10729105,32586090,4409268,8096700,10990000,56082058
OP Domain Dinajpur,Thakurgaon Zone,Thakurgaon Region,Thakurgaon-1,0134,138,2891,2607,13514000,82100308,10722421,92822729,12595928,1645798,14241726,24298512,3576280,8028500,3615000,39518292
OP Domain Rajshahi,Najipur Zone,Sapahar Region,Porsha,0135,126,2701,2388,14070000,86611503,8842344,95453847,2036781,207319,2244100,19238275,4584968,10617000,1300000,35740243
OP Domain Bogra,Sirajganj Zone,Sirajgonj Region,Bagbati,0136,121,2170,1729,10490000,63135035,9526928,72661963,8151881,1131590,9283471,14873802,1954485,3265100,6885000,26978387
OP Domain Rajshahi,Rajshahi Zone,Rajshahi Region,Khorkhori,0137,140,3496,2945,15591000,89130702,12124265,101254966,6181099,809370,6990469,29659423,5610041,4862700,5365000,45497164
OP Domain Bogra,Sirajganj Zone,Kamarkhanda Region,BELKUCHI,0138,115,2299,1919,11681000,70270916,9576702,79847618,6431244,844552,7275796,22986063,6396981,6162200,9480000,45025244
OP Domain Natore,Chatmohor Zone,Bera Region,Bera-1,0139,123,2288,1873,9284000,61870469,8321037,70191506,7914724,1029861,8944585,26364634,3948629,7783200,7190000,45286463
OP Domain Natore,Chatmohor Zone,Bera Region,Shanthia,0140,121,2137,1689,7846000,54964383,7322928,62287310,10096060,1308441,11404501,19543545,3115373,2288800,2120000,27067718
OP Domain Bogra,Sirajganj Zone,Ullapara Region,Ullahpara,0141,165,3098,2490,10780000,73899918,9863911,83763829,13055224,1720985,14776209,25706704,3448689,8040600,10790000,47985993
OP Domain Bogra,Sirajganj Zone,Ullapara Region,Shahjadpur,0142,148,2977,2453,11890000,75078641,9804323,84882964,12887820,1661391,14549211,22673827,3662518,4365600,10670000,41371945
OP Domain Natore,Chatmohor Zone,Bhangura Region,BHANGURA,0143,126,2540,1867,11592000,69829739,9808254,79637994,7806203,1043291,8849494,22711845,2751954,8545600,7100000,41109399
OP Domain Natore,Chatmohor Zone,Bhangura Region,Chatmohor,0144,110,2175,1786,8797000,61254106,8250923,69505028,12637789,1703614,14341403,23040414,2474562,3108900,8995000,37618876
OP Domain Natore,Pabna Zone,Pabna Region,Pabna-1,0145,132,2639,2232,12964000,89302299,12240328,101542627,12867292,1690541,14557833,29914386,4109075,4861324,8950000,47834785
OP Domain Natore,Chatmohor Zone,Bera Region,Kashinathpur-1,0146,111,2140,1855,10676000,64468447,8696953,73165400,10896685,1447190,12343875,17705389,2893259,8445000,6360000,35403648
OP Domain Bogra,Sirajganj Zone,Kamarkhanda Region,Daulatpur-1,0147,90,1805,1483,7649000,45721772,6096060,51817832,4707468,609875,5317343,11186328,5097255,4936100,775000,21994683
OP Domain Mymensingh,Tangail Zone,Mirzapur Region,Kaliakair,0148,137,2292,1906,12830000,77370858,11191812,88562670,7953228,1151612,9104840,18865407,5874172,8397000,1925000,35061579
OP Domain Mymensingh,Netrokona Zone,Mymensingh Region,Mymensingh,0149,157,1800,1607,9440000,57456178,7672171,65128349,6253009,819635,7072644,19154453,3868759,4782100,2445000,30250312
OP Domain Natore,Pabna Zone,Bongram Region,Dulai,0150,121,2132,1705,8510000,67741620,8960408,76702028,16887143,2206545,19093688,15902449,3097765,4261700,5575000,28836914
OP Domain Rajshahi,Chapainobabgonj Zone,Chapainawabganj Region,Baliadanga,0151,117,2711,2028,13296000,69693027,8079302,77772329,3975301,520554,4495855,17513122,3733255,5351950,765000,27363327
OP Domain Natore,Pabna Zone,Bongram Region,MASUMDIA,0152,136,3133,2160,13865000,79214774,10621565,89836339,6525123,866848,7391971,27354613,5045831,29453850,7650000,69504294
OP Domain Dinajpur,Syedpur Zone,Syedpur Region,Saidpur-2,0153,137,3144,2848,13089000,89606114,11783435,101389549,16452839,2157527,18610366,25524732,3479296.36,6643400,6715000,42362428.36
OP Domain Mymensingh,Tangail Zone,Mirzapur Region,MIRZAPUR-1,0154,92,1633,1489,9580000,65875106,9347648,75222754,8814001,1172265,9986266,13653592,5133490,6710900,250000,25747982
OP Domain Dhaka,Dhaka North Zone,Kalshi Region,Khilgaon,0155,149,2529,2356,14515000,92303466,12498167,104801633,9100273,1183403,10283676,30584575,10301401,4943500,3345000,49174476
OP Domain Natore,Pabna Zone,Iswardi Region,Natunhat,0156,121,2495,1982,10578000,71886325,9927144,81813469,12251839,1608894,13860733,19008156,3690344,6850700,4640000,34189200
OP Domain Natore,Puthia Zone,Taherpur Region,Mohonganj,0157,133,2860,2339,10760000,87436538,12336569,99773108,16938727,2277589,19216316,19414949,4342586,6147500,5810000,35715035
OP Domain Dhaka,Dhaka North Zone,Kalshi Region,BADDA,0158,125,1983,1916,12890000,91957558,12285649,104243207,13697513,1890470,15587983,21333402,7975498,3736000,420000,33464900
OP Domain Mymensingh,Tangail Zone,Tangail Region,TANGAIL,0159,98,1210,1026,6320000,42907201,6074296,48981497,7961385,1079225,9040610,21253245,2311383,3685900,7690000,34940528
OP Domain Rangpur,Lalmonirhat Zone,Hatibandha Region,Hatibandha-1,0160,120,2301,1926,9518000,63208170,8241108,71449278,10599975,1399833,11999808,16381068,3147899,3931400,570000,24030367
OP Domain Rangpur,Polashbari Zone,Mithapukur Region,Sukurarhat,0161,123,2219,1941,11892000,64764410,8606472,73370882,3576454,470798,4047252,14842176,3184788,3367600,780000,22174564
OP Domain Rangpur,Polashbari Zone,Mithapukur Region,Boiratihat,0162,129,2160,1746,10510000,67499533,9003110,76502643,5044979,674529,5719508,25005653,3976861,5468800,3575000,38026314
OP Domain Chittagaon,Noakhali Zone,Begumganj Region,Begumganj,0163,151,1981,1529,17290000,96419197,13856120,110275317,2101162,281581,2382743,23125982,15549457,8367500,1870000,48912939
OP Domain Chittagaon,Chittagong North Zone,Kumira Region,Faujdarhat,0164,85,1567,1380,9230000,57657225,7962635,65619859,6810121,912799,7722920,12822496,8461410,5057300,1945000,28286206
OP Domain Chittagaon,Chittagong South Zone,Ranguniea Region,Ranirhat,0165,93,1507,1404,11670000,73147569,9928251,83075820,7792533,1034117,8826650,10015222,7421110,5904600,1145000,24485932
OP Domain Chittagaon,Satkania Zone,Anowara Region,Patiya-1,0166,131,2322,2017,12425000,82018722,10940176,92958898,10660464,1393910,12054374,24084073,5635064,7926900,2110000,39756037
OP Domain Mymensingh,Tangail Zone,Mirzapur Region,Pakulla,0167,109,1704,1371,11045000,62724833,8513063,71237896,8121079,1079192,9200271,15934785,4077261,5655400,6660000,32327446
OP Domain Dhaka,Dhaka South Zone,Narayanganj Region,Demra-1,0168,78,2020,1898,13650000,76407536,10012846,86420382,3558041,456849,4014890,20224846,7246055,1661400,145000,29277301
OP Domain Natore,Natore Zone,Natore Region,Natore-1,0169,74,1178,819,12400000,62949951,9493942,72443893,6192868,903381,7096249,23652173,2898940,6700400,8750000,42001513
OP Domain Comilla,Comilla Zone,Choddogram Region,Chauddagram,0170,102,1688,1414,12296000,90921097,12703959,103625055,11027864,1480900,12508764,18733853,8639602,7633500,1935000,36941955
OP Domain Chittagaon,Satkania Zone,Satkania Region,Chandanaish,0171,107,1706,1367,7940000,59705775,7942175,67647950,11516340,1486603,13002943,14941337,3662353,5982400,2465000,27051090
OP Domain Dhaka,Dhamrai Zone,Dhamrai Region,Zirabo,0172,91,1148,920,8470000,64951858,10348479,75300337,8799796,1878911,10678707,14813568,4113854,6293000,1920000,27140422
OP Domain Dhaka,Dhamrai Zone,Kashimpur Region,Mouchak,0173,108,1699,1462,8780000,62567853,9053289,71621141,10548407,1610767,12159174,12833302,3579152,5568200,2760000,24740654
OP Domain Bogra,Bogra Central Zone,Bogura Town Region,Bogura Town,0174,50,1909,1642,20213000,181381027,8385092,189766119,18012062,2316852,20328914,51407079,5406527,9810000,7440000,74063606
OP Domain Chittagaon,Chittagong North Zone,Mirasorai Region,Mirsarai,0175,95,1593,1330,9095000,65195514,9251065,74446579,9890106,1362167,11252273,13879278,4766211,7659600,1245000,27550089
OP Domain Chittagaon,Satkania Zone,Anowara Region,Boalkhali,0176,99,1584,1491,8485000,55040665,7326505,62367169,8665077,1127704,9792781,12237119,2778440,2664000,715000,18394559
OP Domain Sylhet,Sylhet Zone,Khadimnagar Region,Beanibazar-1,0177,120,2166,1750,12940000,75879810,10165078,86044888,4646510,626621,5273131,33318159,8038469,8188730,2500000,52045358
OP Domain Dhaka,Narsingdi Zone,Hasnabad Region,HASNABAD,0178,98,1403,1176,10850000,64387102,8622914,73010016,7360706,975260,8335966,16832891,4605557,4023300,2140000,27601748
OP Domain Dhaka,Dhaka North Zone,Cheragali Region,Kaliganj-1,0179,104,1639,1424,9980000,68176285,9451697,77627982,9150961,1249242,10400203,14822422,3142891,4134300,1270000,23369613
OP Domain Dhaka,Narsingdi Zone,Madhobdi Region,Narsingdi-1,0180,83,1731,1468,11180000,68252036,9096515,77348551,5212823,677372,5890195,21395616,5371706,5555500,1270000,33592822
OP Domain Sylhet,Sylhet Zone,Sylhet Region,Sylhet Sadar,0181,124,2402,2023,12200000,75790442,10125319,85915761,5694677,755843,6450520,26552284,8729110,8119200,680000,44080594
OP Domain Sylhet,Sylhet Zone,Biswanath Region,Biswanath,0182,72,1462,1291,9250000,57513226,7721760,65234986,5870012,786538,6656550,16069370,5510362,5448300,0,27028032
OP Domain Sylhet,Sylhet Zone,Biswanath Region,Balaganj,0183,92,1828,1641,12695000,74370356,10072103,84442459,6752969,988823,7741792,18415887,5959973,7700800,1625000,33701660
OP Domain Sylhet,Beanibazar Zone,Gowainghat Region,Kanaighat-1,0184,121,1832,1582,11135000,71863688,9457892,81321580,4811470,631284,5442754,19909766,6804207,6774100,750000,34238073
OP Domain Sylhet,Sylhet Zone,Khadimnagar Region,Golapganj,0185,119,2145,1947,14430000,87201337,11380483,98581820,7261435,959567,8221002,23826592,7291139,9164800,500000,40782531
OP Domain Sylhet,Beanibazar Zone,Beanibazar Region,Zakiganj-1,0186,111,1701,1536,12220000,72007318,9571779,81579097,1570449,211386,1781835,18585826,7587212,8037700,1650000,35860738
OP Domain Sylhet,Moulvibazar Zone,Moulvibazar Region,Moulvibazar Kamalpur,0187,133,1849,1573,14025000,78974379,10423850,89398229,5166492,701229,5867721,22839905,8217855,6906350,2970000,40934110
OP Domain Dhaka,Dhaka South Zone,Narayanganj Region,Fotullah,0188,130,3169,2795,15030000,107408338,14758433,122166771,21951644,2933806,24885450,20892116,6326521,4437101,575000,32230738
OP Domain Rajshahi,Chapainobabgonj Zone,Chapainawabganj Region,Kakonhat,0189,135,2880,2449,15270000,88680866,9989600,98670466,7226703,925214,8151917,19939697,4057614,3361700,1400000,28759011
OP Domain Dhaka,Dhaka North Zone,Kalshi Region,Abdullahpur,0190,118,2201,2039,12945000,101305981,13909951,115215932,23029438,3240098,26269536,18085943,9107698,4174000,3740000,35107641
OP Domain Mymensingh,Tangail Zone,Ghatail Region,MODHUPUR,0191,111,1785,1443,9210000,62790122,8416332,71206454,7873621,1045394,8919015,18835586,5609907,7668900,4255000,36369393
OP Domain Mymensingh,Tangail Zone,Ghatail Region,GHATAIL,0192,115,1577,1306,10630000,75418549,10991334,86409882,10764185,1479410,12243595,21327369,3772966,5629000,1825000,32554335
OP Domain Dhaka,Dhaka South Zone,Modonpur-1 Region,Narayanganj-1,0193,68,1438,1246,10050000,73512342,3771648,77283990,5282149,674021,5956170,21483037,6339322,6403500,3640000,37865859
OP Domain Dhaka,Dhaka South Zone,Modonpur-1 Region,Sonargaon,0194,139,2615,2123,14070000,88136111,11692925,99829036,12474802,1677157,14151959,25297879,4524555,4620100,1745000,36187534
OP Domain Dhaka,Narsingdi Zone,Belabo Region,Shibpur-2,0195,133,2355,1890,13370000,83703295,11107093,94810388,12819300,1691423,14510723,19915244,5631509,6156300,2695000,34398053
OP Domain Dhaka,Narsingdi Zone,Belabo Region,MONOHARDI,0196,139,2445,1923,14280000,94634438,12728019,107362458,13716459,1810443,15526902,30136920,8111689,8555100,8945000,55748709
OP Domain Dhaka,Narsingdi Zone,Belabo Region,POLASH,0197,119,1700,1401,10690000,69144785,9838515,78983300,6128240,832550,6960790,21502315,5875802,7470200,6155000,41003317
OP Domain Dhaka,Dhaka South Zone,Narayanganj Region,Haziganj-1,0198,108,2917,2299,15425000,112046021,8470439,120516460,9560189,1130322,10690511,27759584,9299111,11115602,2990000,51164297
OP Domain Sylhet,Sylhet Zone,Khadimnagar Region,Khadimnagar,0199,162,2747,2427,15940000,99317405,13320469,112637874,11516427,1527422,13043849,29905817,10446083,9953900,1590000,51895800
OP Domain Sylhet,Beanibazar Zone,Gowainghat Region,Jaintapur-1,0200,149,3089,2439,13955000,88335808,11741488,100077296,5058006,670506,5728512,29956464,16575378,11992500,2555000,61079342
OP Domain Sylhet,Moulvibazar Zone,Auskandi Region,Aushkandi,0201,80,1597,1311,12350000,73041686,9819795,82861481,2631571,351362,2982933,20988017,6542646,9634500,1300000,38465163
OP Domain Bogra,Bogra South Zone,Dhunat Region,Kutubpur,0202,115,2306,1801,8099000,55217085,7324155,62541240,12873255,1754824,14628079,19140127,2705905,5669100,3830000,31345132
OP Domain Sylhet,Hobigonj Zone,Hobigonj Region,Sayestaganj,0203,137,1760,1532,11385000,70034184,9373093,79407278,4255520,565900,4821420,26422086,9007198,8160800,950000,44540084
OP Domain Rajshahi,Chapainobabgonj Zone,Gomastapur Region,Shonaichandi,0204,78,1507,1343,7931000,49506435,5786453,55292888,3653545,351042,4004587,11603066,2073910,1134500,250000,15061476
OP Domain Rajshahi,Rajshahi Zone,Mohonpur Region,TANOR,0205,120,2743,2273,13300000,86997988,10382882,97380870,8836062,1128376,9964438,22204347,3675500,5564100,2510000,33953947
OP Domain Bogra,Sirajganj Zone,Nimgachhi Region,PANCHLIA,0206,97,2070,1490,8085000,53994604,7532905,61527509,6902396,886474,7788870,15933396,1733783,5385000,4950000,28002179
OP Domain Sylhet,Moulvibazar Zone,Komolganj Region,Sreemangal-1,0207,166,1797,1395,12970000,78192749,10551469,88744218,6628455,954113,7582568,24557334,6741582,7463400,945000,39707316
OP Domain Rangpur,Gaibandha Zone,Sundarganj Region,Naldanga-2,0208,119,2221,1906,10907000,74425855,9951863,84377718,10493208,1467623,11960831,19849057,5059616,8672900,3975000,37556573
OP Domain Bogra,Bogra South Zone,Sherpur-1 Region,Sherpur-2,0209,63,1963,1571,15968000,117667932,17499014,135166945,23270540,3369732,26640272,33225175,4496199,6838100,7415000,51974474
OP Domain Bogra,Bogra North Zone,Mohasthan Region,Mohasthan-2,0210,29,1315,1223,10145000,75155405,12552308,87707713,18195435,3050145,21245579,15100379,1494416,1945400,1625000,20165195
OP Domain Sylhet,Hobigonj Zone,Madhobpur Region,Madhobpur,0211,112,1597,1417,9325000,68384506,9196354,77580859,10901601,1512372,12413973,15277312,4410475,7020700,520000,27228487
OP Domain Dinajpur,Syedpur Zone,Ranirbandar Region,Ranirbandar,0212,147,2911,2617,12385000,80691699,10677257,91368956,12855534,1737090,14592624,22920844,3323069,6557000,1870000,34670913
OP Domain Dinajpur,Syedpur Zone,Ranirbandar Region,Pakerhat,0213,159,3201,2881,16155000,95629348,12675982,108305330,8183775,1099254,9283029,34585596,4920688,14618800,8550000,62675084
OP Domain Comilla,Comilla Zone,Choddogram Region,LAKSHAM,0214,107,1497,1321,8830000,66803946,9058527,75862473,9983672,1330335,11314007,17895406,5687156,6435400,975000,30992962
OP Domain Comilla,Chandpur Zone,Foridjonj Region,Ramganj-1,0215,122,2091,1769,12985000,94713006,12491448,107204454,7069725,912444,7982169,21851373.32,9815757,5878400,1255000,38800530.32
OP Domain Rajshahi,Rajshahi Zone,Coart Region,Laxmipur-1,0216,46,813,690,7185000,53374459,8482605,61857064,10136344,1468695,11605039,13875513,1743013,1826100,800000,18244626
OP Domain Comilla,Comilla Zone,Chandina Region,CHANDINA,0217,91,1414,1196,11430000,77582850,10464806,88047655,16885148,2249738,19134886,17114549,5799446,5770200,1110000,29794195
OP Domain Chittagaon,Noakhali Zone,Sonaimuri Region,Shenbag,0218,118,1361,1271,11015000,64570205,8811653,73381859,7093888,936896,8030784,12042275,4851277,2238530,870000,20002082
OP Domain Comilla,Comilla Zone,Comilla Region,Comilla-1,0219,132,2093,1906,19060000,170290644,3611509,173902153,18841613,2541948,21383561,29815874,10483215,11171800,2730000,54200889
OP Domain Chittagaon,Noakhali Zone,Begumganj Region,Chandraganj,0220,167,1673,1332,13080000,81423974,11568851,92992825,9849031,1315909,11164940,16620198,9101455,7991600,1615000,35328253
OP Domain Chittagaon,Noakhali Zone,Sonaimuri Region,Chatkhil,0221,107,1595,1289,11910000,73844017,9986686,83830703,5658673,735458,6394131,18614142,5719289,4998325,1085000,30416756
OP Domain Dinajpur,Dinajpur Zone,Ambari Region,Chirirbandar,0222,76,1682,1542,9363000,57167834,7170341,64338175,4688544,628261,5316805,17638385,1975139.01,5508200,2585000,27706724.01
OP Domain Dinajpur,Thakurgaon Zone,Birgonj Region,Kobirajhat,0223,85,2146,1997,11603000,65161466,8550324,73711790,6809841,875379,7685220,21628293,2623764,4694900,2745000,31691957
OP Domain Rangpur,Lalmonirhat Zone,Kaliganj Region 2,Kaliganj-2,0224,89,2000,1650,10678000,55639515,7179169,62818684,4711169,636768,5347937,22627183,2509173,8392900,3370000,36899256
OP Domain Rangpur,Lalmonirhat Zone,Lalmonirhat Region,Aditmari,0225,136,2907,2396,12309000,75773793,9890571,85664364,8786854,1155770,9942624,25243677,3762461,5013600,3465000,37484738
OP Domain Comilla,Chandpur Zone,Foridjonj Region,Faridganj-1,0226,99,1250,1077,9870000,67039906,9440009,76479915,5572996,741279,6314275,13601590,5016949,3512900,3070000,25201439
OP Domain Rangpur,Lalmonirhat Zone,Hatibandha Region,Patgram,0227,191,3841,3198,16418000,103344130,13676341,117020471,9783359,1305485,11088844,31428793,7918480,7012100,1825000,48184373
OP Domain Rangpur,Kurigram Zone,Nageshori Region,Nageswari,0228,164,2985,2507,15856000,96386733,12566158,108952891,6945405,966450,7911855,38902438,7690182,15468800,15530000,77591420
OP Domain Rangpur,Kurigram Zone,Ulipur Region,Rajarhat,0229,159,3068,2683,13586000,90155963,11679447,101835410,16450287,2133191,18583478,27077547,4932567,6475500,3830000,42315614
OP Domain Rangpur,Lalmonirhat Zone,Kaliganj Region 2,Chaparhat,0230,164,3785,2826,17026000,93235156,12077356,105312512,4852366,627350,5479716,40209089,6330661,14067100,4000000,64606850
OP Domain Rajshahi,Najipur Zone,Sapahar Region,Sapahar,0231,74,1754,1440,13257000,67168259,7052292,74220551,3932985,255132,4188116,21565634,4003468,5450300,7250000,38269402
OP Domain Rajshahi,Najipur Zone,Sapahar Region,Ashranda,0232,103,2932,2615,21102000,108449860,10532278,118982138,444935,40147,485082,18466679,4223833,4075300,550000,27315812
OP Domain Bogra,Sirajganj Zone,Kamarkhanda Region,ENAYETPUR,0233,71,1564,1391,7865000,49275410,6675008,55950418,7312383,982997,8295380,13757516,4312984,3860000,6120000,28050500
OP Domain Rangpur,Gaibandha Zone,Sundarganj Region,Bamondanga,0234,143,2758,2312,15195000,103702058,13741963,117444021,10454384,1413113,11867497,25689957,6200584,13715425,4743000,50348966
OP Domain Rajshahi,Rajshahi Zone,Mohonpur Region,DAUKANDI,0235,117,2362,1959,9296000,65627025,9083454,74710478,8700189,1179603,9879792,18964969,2304597,3451000,5465000,30185566
OP Domain Rangpur,Lalmonirhat Zone,Lalmonirhat Region,Fulbari-2,0236,213,5645,3171,16516000,103637864,12941151,116579015,7519190,948160,8467350,30732630,6891839,6246700,9615000,53486169
