Domain,Zone,Region,Branch Name,Branch Code,No_of_Samity,No_of_Members,No_of_Borrower,SEP_2025_ Month_Loan,Loan_Outstanding_Principal,Loan_Service_Charge,Total_Outstanding,Overdue_Principal,Overdue_Service_Charge,Total_Overdue,GS,SS,TSS,TDMB,Total_Savings_Balance
OP Domain Chittagaon,Chittagong North Zone,Pahartali Region,Bandar Tila,0987,69,1416,1348,10630000,63515509,9235263,72750772,3865550,540054,4405604,19377324,7342229,7262500,810000,34792053
OP Domain Bogra,Bogra Central Zone,Central Region,Godarpara-2,0988,90,2363,1887,11975000,84987549,5677567,90665116,6940132,850900,7791032,27531499,3769812,6307800,6045000,43654111
OP Domain Bogra,Bogra Central Zone,Banani Region,Ashekpur-02,0989,84,1678,1429,10810000,89815045,4055241,93870286,11773992,1632362,13406354,25684170,2718113,3441400,6550000,38393683
OP Domain Bogra,Bogra Central Zone,Banani Region,Banani-02,0990,70,1371,1079,10425000,78512183,9933931,88446114,6111267,1222309,7333576,31522819,2761450,2808100,3920000,41012369
OP Domain Rangpur,Rangpur Zone,Modern Region,Mirbagh,0991,80,1802,1472,10679000,64977281,8816618,73793899,2449350,331673,2781023,17806137,4857483,6939700,3775000,33378320
OP Domain Rangpur,Polashbari Zone,Ghoraghat Region,Rajabirat-2,0992,76,1461,1322,7425000,48495251,5675327,54170579,3811277,499807,4311084,12025314,2493218,4103000,5000000,23621532
OP Domain Rangpur,Gaibandha Zone,Sundarganj Region,Domarhat,0993,74,1291,1096,8412000,55103762,7422722,62526484,4984441,711504,5695945,15080961,3238610,7042700,200000,25562271
OP Domain Rangpur,Lalmonirhat Zone,Kaliganj Region 2,Tushbhander,0994,89,2126,1664,10478000,59467685,7713912,67181597,6220894,809136,7030030,27363496,3007525,12595100,5095000,48061121
OP Domain Rangpur,Kurigram Zone,Nageshori Region,Vitarbond-2,0995,98,2375,2069,11130000,69370296,8845196,78215492,5170767,679718,5850485,16163995,8280113,8487300,4075000,37006408
OP Domain Dinajpur,Dinajpur Zone,Ambari Region,Chirirbandar-2,0996,74,1578,1458,11551000,65246560,8744543,73991103,3829832,501160,4330992,20101178,2344856,6099700,4500000,33045734
OP Domain Dinajpur,Dinajpur Zone,Fulbari-2 Region,Madilahat,0997,47,945,847,5290000,28391929,3557554,31949483,4014932,503941,4518873,10339334,973822,2366500,1275000,14954656
OP Domain Dinajpur,Thakurgaon Zone,Birgonj Region,Kobirajhat-2,0998,66,1526,1416,6624000,44294521,5804664,50099185,6317152,812920,7130072,12312304,1490640,3104300,3400000,20307244
OP Domain Sylhet,Sunamganj Zone,Sunamganj Region,Sunamgnj Sadar-2,0999,69,1245,1092,13340000,67417141,8895037,76312178,2452464,336109,2788573,15245524,3562171,6261500,520000,25589195
OP Domain Sylhet,Moulvibazar Zone,Auskandi Region,Enatgonj-2,1000,48,893,859,9070000,54632797,7360939,61993736,1697471,223004,1920475,12422008,4581711,4462500,0,21466219
OP Domain Sylhet,Hobigonj Zone,Hobigonj Region,Mirpur,1001,80,1318,1181,10085000,61390677,8223784,69614461,5194745,691492,5886237,15342243,4587534,4500400,660000,25090177
OP Domain Sylhet,Beanibazar Zone,Juri Region,Barlekha-3,1002,74,1277,1091,9680000,56354564,7583771,63938335,3106846,447784,3554630,15777225,4540163,6087000,1650000,28054388
OP Domain Rajshahi,Chapainobabgonj Zone,Gomastapur Region,Gomostapur-2,1003,63,1338,1163,8204000,43293906,5334197,48628103,2508193,310928,2819121,10338773,1847010,1610500,920000,14716283
OP Domain Rajshahi,Chapainobabgonj Zone,Gomastapur Region,Shonaichandi-2,1004,64,1439,1315,8338000,51227374,5309436,56536810,3479926,290190,3770116,8464887,1950083,574800,75000,11064770
OP Domain Rajshahi,Chapainobabgonj Zone,Niyamatpur Region,Niamatpur-2,1005,91,2182,1853,9814000,56693797,7034747,63728544,5858905,746681,6605586,13980370,2622051,1487000,300000,18389421
OP Domain Rajshahi,Chapainobabgonj Zone,Niyamatpur Region,Chowbaria-2,1006,80,1968,1651,10295000,60971342,6467470,67438812,3149727,383278,3533005,16858769,2795468,5344700,870000,25868937
OP Domain Rajshahi,Chapainobabgonj Zone,Chapainawabganj Region,Chapainawabganj-2,1007,66,1393,1128,7570000,37926758,4985244,42912002,3072599,406522,3479121,11926571,1883533,2352600,250000,16412704
OP Domain Rajshahi,Rajshahi Zone,Mohonpur Region,Keshorhat,1008,78,1667,1447,8568000,56642058,7129005,63771063,10071038,1240621,11311658,10455789,1555408,1112900,475000,13599097
OP Domain Rajshahi,Najipur Zone,Sapahar Region,Sapahar-2,1009,61,1416,1203,10165000,52103992,5059289,57163281,1820119,142451,1962570,11570046,3088833,3142386,1100000,18901265
OP Domain Rajshahi,Naogaon Zone,Raninagor Region,Ahsanganj,1010,90,1626,1445,10210000,61028281,8466433,69494714,4951550,677694,5629244,16512818,2656823,4736600,7350000,31256241
OP Domain Rajshahi,Naogaon Zone,Hapania Region,Bolihar-2,1011,88,1495,1248,7591000,55646580,8079332,63725912,5441640,774774,6216414,12134201,2505667,6774500,2610000,24024368
OP Domain Dhaka,Narayanganj Zone,Modonpur-1 Region,Sahebpara,1012,67,1643,1533,9650000,58709112,5762418,64471530,3082273,397478,3479751,18068162,6374192,3340500,2720000,30502854
OP Domain Dhaka,Narayanganj Zone,Narayanganj Region,Matuyal,1013,69,1700,1510,11015000,61618379,8117361,69735740,2333369,298330,2631699,15180554,4865603,1937700,620000,22603857
OP Domain Dhaka,Dhaka Zone,Kalyanpur Region,Ahammed Nogor,1014,54,1321,1212,7590000,59879218,8091832,67971050,6092176,857666,6949842,19797093,6005131,3652501,675000,30129725
OP Domain Dhaka,Dhaka Zone,Cheragali Region,Sainboard,1015,74,1655,1563,12150000,74881464,10377945,85259409,8664896,1240888,9905784,18117001,4876391,3076500,550000,26619892
OP Domain Dhaka,Dhaka Zone,Kalshi Region,Pallabi,1016,59,1478,1348,10975000,66919048,9434999,76354047,7779311,1054447,8833758,20444965,7112871,4863500,2975000,35396336
